target_coverage,method,method_label,metric,n_retained,full,retained,d_full,random_mean,d_random,p,q,significant_q05
0.8,weighted_fullfeat,Weighted (full-feature),ece,298,0.05450363905964393,0.041747629372818805,-0.012756009686825123,0.05623821774039699,-0.014490588367578182,0.00999000999000999,0.014808720691073632,True
0.8,weighted_fullfeat,Weighted (full-feature),cal_gap,298,-0.04626401046557865,-0.03242966012382542,0.013834350341753232,-0.046403775315374846,0.013974115191549424,0.025974025974025976,0.03596403596403597,True
0.8,weighted_fullfeat,Weighted (full-feature),bss,298,0.633596426619288,0.7192990203828848,0.0857025937635969,0.6336831203483245,0.08561590003456032,0.001998001998001998,0.004577240940877305,True
0.8,weighted_maha,Weighted (Mahalanobis),auroc,322,0.9479262672811061,0.954488971730351,0.006562704449244894,0.9479047273070664,0.006584244423284535,0.04595404595404595,0.059083773369487655,False
0.8,weighted_maha,Weighted (Mahalanobis),sensitivity,322,0.8461538461538461,0.8563218390804598,0.010167992926613634,0.8462185926377074,0.0101032464427524,0.13986013986013987,0.16469511796614603,False
0.8,weighted_maha,Weighted (Mahalanobis),specificity,322,0.9032258064516129,0.9256756756756757,0.02244986922406278,0.9030992666132044,0.02257640906247127,0.001998001998001998,0.004577240940877305,True
0.8,weighted_maha,Weighted (Mahalanobis),ece,322,0.05450363905964393,0.05561067997857144,0.001107040918927514,0.05473372869755559,0.0008769512810158503,0.7952047952047953,0.8563743948359334,False
0.8,weighted_maha,Weighted (Mahalanobis),cal_gap,322,-0.04626401046557865,-0.04698721775434783,-0.0007232072887691787,-0.04618068748244441,-0.0008065302719034231,0.8371628371628371,0.8939196396823516,False
0.8,weighted_maha,Weighted (Mahalanobis),bss,322,0.633596426619288,0.6643696789254073,0.03077325230611938,0.6334942289776571,0.030875449947750266,0.005994005994005994,0.009937430990062569,True
0.8,weighted_siteholdout,Weighted (site-holdout),auroc,299,0.9479262672811061,0.9608133584702396,0.01288709118913356,0.9480524339350407,0.012760924535198948,0.011988011988011988,0.01716465352828989,True
0.8,weighted_siteholdout,Weighted (site-holdout),sensitivity,299,0.8461538461538461,0.8860759493670886,0.03992210321324241,0.8467160770484279,0.03935987231866067,0.001998001998001998,0.004577240940877305,True
0.8,weighted_siteholdout,Weighted (site-holdout),specificity,299,0.9032258064516129,0.9361702127659575,0.03294440631434459,0.9034014434921794,0.03276876927377803,0.003996003996003996,0.006804006804006804,True
0.8,weighted_siteholdout,Weighted (site-holdout),ece,299,0.05450363905964393,0.044739479441806035,-0.009764159617837893,0.05590339391923244,-0.011163914477426408,0.04395604395604396,0.0576923076923077,False
0.8,weighted_siteholdout,Weighted (site-holdout),cal_gap,299,-0.04626401046557865,-0.035452673969565196,0.010811336496013457,-0.046194198909128736,0.01074152493956354,0.057942057942057944,0.07157548334018922,False
0.8,weighted_siteholdout,Weighted (site-holdout),bss,299,0.633596426619288,0.7106915801274593,0.07709515350817131,0.6341685206698771,0.0765230594575822,0.001998001998001998,0.004577240940877305,True
0.8,weighted_uni2only,Weighted (UNI2-only),auroc,326,0.9479262672811061,0.9527651515151515,0.0048388842340454374,0.9478774843919473,0.004887667123204209,0.07192807192807193,0.08798968022268994,False
0.8,weighted_uni2only,Weighted (UNI2-only),sensitivity,326,0.8461538461538461,0.8522727272727273,0.006118881118881148,0.8463223429308134,0.005950384341913861,0.32367632367632365,0.3674163674163674,False
0.8,weighted_uni2only,Weighted (UNI2-only),specificity,326,0.9032258064516129,0.92,0.016774193548387162,0.9030464697217565,0.016953530278243534,0.003996003996003996,0.006804006804006804,True
0.8,weighted_uni2only,Weighted (UNI2-only),ece,326,0.05450363905964393,0.05496801405858896,0.00046437499894503437,0.05462346676906135,0.0003445472895276108,0.8951048951048951,0.9230769230769231,False
0.8,weighted_uni2only,Weighted (UNI2-only),cal_gap,326,-0.04626401046557865,-0.046450361186809785,-0.00018635072123113217,-0.046231767800938656,-0.00021859338587112975,0.9590409590409591,0.9590409590409591,False
0.8,weighted_uni2only,Weighted (UNI2-only),bss,326,0.633596426619288,0.655905555363945,0.02230912874465707,0.6334606772249404,0.022444878139004643,0.00999000999000999,0.014808720691073632,True
0.8,weighted_hoptimusonly,Weighted (H-optimus-only),auroc,271,0.9479262672811061,0.9669826740764956,0.019056406795389558,0.948058994768799,0.018923679307696673,0.001998001998001998,0.004577240940877305,True
0.8,weighted_hoptimusonly,Weighted (H-optimus-only),sensitivity,271,0.8461538461538461,0.9130434782608695,0.06688963210702337,0.8463126124176861,0.06673086584318344,0.001998001998001998,0.004577240940877305,True
0.8,weighted_hoptimusonly,Weighted (H-optimus-only),specificity,271,0.9032258064516129,0.9473684210526315,0.04414261460101865,0.903189031156787,0.04417938989584458,0.003996003996003996,0.006804006804006804,True
0.8,weighted_hoptimusonly,Weighted (H-optimus-only),ece,271,0.05450363905964393,0.031085355804797057,-0.02341828325484687,0.05774656366482288,-0.02666120786002582,0.001998001998001998,0.004577240940877305,True
