predictor,family,signal,target_coverage,axis,level,n,n_retained,realised_coverage
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,sex,male,186,161,0.8655913978494624
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,age,20-39,104,86,0.8269230769230769
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,age,40-54,120,105,0.875
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,age,55-69,82,78,0.9512195121951219
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,age,70+,11,11,1.0
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,tier,a,312,275,0.8814102564102564
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,tier,c,8,7,0.875
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,tier_grouped,c,8,7,0.875
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.8,sex,female,134,108,0.8059701492537313
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.8,sex,male,186,143,0.7688172043010753
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.8,age,20-39,104,71,0.6826923076923077
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.8,age,40-54,120,93,0.775
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.8,age,55-69,82,76,0.926829268292683
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.8,age,70+,11,10,0.9090909090909091
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.8,tier,a,312,246,0.7884615384615384
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.8,tier,c,8,5,0.625
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.8,tier_grouped,c,8,5,0.625
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.7,sex,female,134,87,0.6492537313432836
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.7,sex,male,186,114,0.6129032258064516
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.7,age,20-39,104,55,0.5288461538461539
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.7,age,40-54,120,72,0.6
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.7,age,55-69,82,63,0.7682926829268293
