dataset,encoder,patient_id,n_patches,featnorm_mean
ebrains,hoptimus,a19609a9-357f-11eb-9002-001a7dda7111,2419.0,34.95269222819347
ebrains,hoptimus,a19609b0-357f-11eb-b110-001a7dda7111,274.0,31.76727874087592
ebrains,hoptimus,a19609b4-357f-11eb-b94f-001a7dda7111,747.0,31.44293842034806
ebrains,hoptimus,a19609b5-357f-11eb-8ac5-001a7dda7111,3229.0,33.52974024465779
ebrains,hoptimus,a19609b7-357f-11eb-b0be-001a7dda7111,141.0,31.74822695035461
ebrains,hoptimus,a19609b9-357f-11eb-ab37-001a7dda7111,1955.0,34.34746643222506
ebrains,hoptimus,a19609bb-357f-11eb-a131-001a7dda7111,2896.0,31.51572751208564
ebrains,hoptimus,a19609bf-357f-11eb-a7de-001a7dda7111,4699.0,34.56090391572675
ebrains,hoptimus,a19609c7-357f-11eb-be55-001a7dda7111,734.0,33.89492506811989
ebrains,hoptimus,a1962fef-357f-11eb-8a18-001a7dda7111,4891.0,32.68773320895522
ebrains,hoptimus,a1962ff0-357f-11eb-8aff-001a7dda7111,2210.0,33.42055288461538
ebrains,hoptimus,a1962ff2-357f-11eb-8dff-001a7dda7111,2355.0,30.709547505307857
ebrains,hoptimus,a1963008-357f-11eb-9e5e-001a7dda7111,5574.0,31.32437993362038
ebrains,hoptimus,a196300c-357f-11eb-9960-001a7dda7111,163.0,31.88784509202454
ebrains,hoptimus,a1963013-357f-11eb-8c98-001a7dda7111,322.0,32.06361607142857
ebrains,hoptimus,a1963015-357f-11eb-a1d3-001a7dda7111,3743.0,33.05604628640128
ebrains,hoptimus,a196301b-357f-11eb-a1b2-001a7dda7111,1363.0,30.96028980190756
ebrains,hoptimus,a1963020-357f-11eb-b911-001a7dda7111,3568.0,33.5618168441704
ebrains,hoptimus,a1963026-357f-11eb-8f23-001a7dda7111,1855.0,34.826246630727766
ebrains,hoptimus,a196302b-357f-11eb-9166-001a7dda7111,4457.0,32.12371340026924
ebrains,hoptimus,a196302e-357f-11eb-8d1e-001a7dda7111,439.0,34.0905111047836
ebrains,hoptimus,a1963030-357f-11eb-ad27-001a7dda7111,1311.0,33.20593773836766
ebrains,hoptimus,a1963032-357f-11eb-bfeb-001a7dda7111,224.0,34.34556361607143
ebrains,hoptimus,a1963036-357f-11eb-baa0-001a7dda7111,1177.0,33.402612574341546
ebrains,hoptimus,a196303d-357f-11eb-b8ae-001a7dda7111,4156.0,32.014106111645816
ebrains,hoptimus,a1963044-357f-11eb-b15e-001a7dda7111,4604.0,33.15806567658558
