encoder,detector,variable,test,n_levels,levels,n_total,p_raw,rank_biserial,family,q
hoptimus,flow_ood,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,0.16607631108801454,,F5,0.2254067908988698
hoptimus,flow_energy,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,0.21860086534473738,,F5,0.28932467472097595
hoptimus,maha,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,0.22361113888522466,0.050155405666825637,F5,0.2916667028937713
uni2,maha,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,0.23985197335910569,0.048440139800616455,F5,0.30838110860456447
hoptimus,featnorm,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.25336078723161926,0.0901519579193455,F5,0.3211615612795174
hoptimus,flow_energy,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.383617219114715,0.06877069939606462,F5,0.460340662937658
conch,n_patches,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.3792519646013821,0.06940385739333732,F5,0.460340662937658
hoptimus,n_patches,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.3792519646013821,0.06940385739333732,F5,0.460340662937658
uni2,n_patches,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.3792519646013821,0.06940385739333732,F5,0.460340662937658
hoptimus,flow_ood,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.4146727914046955,0.06438729787648545,F5,0.49105988455819205
uni2,flow_ood,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,0.4416348477219745,0.031713073421117066,F5,0.5161965752594506
uni2,featnorm,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.4639432666954929,0.0578121955971167,F5,0.5345691868066557
conch,maha,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.46923295286362,-0.057130333138515454,F5,0.5345691868066557
conch,flow_ood,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.49852237441008695,-0.053428794077537534,F5,0.5608376712113479
conch,flow_energy,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.527142260028236,-0.04992207286187411,F5,0.5857136222535956
uni2,flow_energy,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.5927545371092374,0.04222676797194613,F5,0.6427458836124261
hoptimus,maha,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.5927545371092374,0.04222676797194613,F5,0.6427458836124261
uni2,flow_ood,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.6587471194298763,0.034872394311318944,F5,0.7058004851034388
conch,featnorm,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,0.6766551291472853,0.017191348869601164,F5,0.7164583720383021
hoptimus,flow_energy,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,0.7314697978221285,-0.014147719212267429,F5,0.7654916488836229
uni2,flow_energy,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,0.7835999665582783,-0.011323334064148316,F5,0.8014090567073301
uni2,maha,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.7828530841849225,-0.021770894213909986,F5,0.8014090567073301
hoptimus,flow_ood,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,0.8186745035296792,0.009453307367905284,F5,0.8278730934569789
conch,featnorm,race_binary,mannwhitneyu,2,"['white', 'non-white']",766,0.9598785298079526,-0.003993765828949947,F5,0.9598785298079526
